filename,foldername,labels
Telugu-230.wav,Telugu,3
Kannada-158.wav,Kannada,1
Tamil-231.wav,Tamil,2
Tamil-190.wav,Tamil,2
Hindi-229.wav,Hindi,0
Telugu-43.wav,Telugu,3
Telugu-120.wav,Telugu,3
Kannada-124.wav,Kannada,1
Kannada-233.wav,Kannada,1
Kannada-210.wav,Kannada,1
Telugu-17.wav,Telugu,3
Tamil-160.wav,Tamil,2
Kannada-130.wav,Kannada,1
Telugu-243.wav,Telugu,3
Telugu-114.wav,Telugu,3
Tamil-121.wav,Tamil,2
Tamil-147.wav,Tamil,2
Telugu-81.wav,Telugu,3
Kannada-50.wav,Kannada,1
Kannada-230.wav,Kannada,1
Telugu-140.wav,Telugu,3
Hindi-196.wav,Hindi,0
Hindi-231.wav,Hindi,0
Tamil-236.wav,Tamil,2
Tamil-119.wav,Tamil,2
Hindi-169.wav,Hindi,0
Telugu-204.wav,Telugu,3
Hindi-52.wav,Hindi,0
Kannada-211.wav,Kannada,1
Tamil-244.wav,Tamil,2
Kannada-113.wav,Kannada,1
Kannada-222.wav,Kannada,1
Telugu-65.wav,Telugu,3
Kannada-237.wav,Kannada,1
Telugu-151.wav,Telugu,3
Telugu-112.wav,Telugu,3
Tamil-68.wav,Tamil,2
Hindi-189.wav,Hindi,0
Tamil-253.wav,Tamil,2
Telugu-192.wav,Telugu,3
Tamil-161.wav,Tamil,2
Tamil-238.wav,Tamil,2
Tamil-225.wav,Tamil,2
Telugu-194.wav,Telugu,3
Telugu-121.wav,Telugu,3
Telugu-13.wav,Telugu,3
Kannada-235.wav,Kannada,1
Telugu-211.wav,Telugu,3
Telugu-179.wav,Telugu,3
Telugu-11.wav,Telugu,3
Kannada-224.wav,Kannada,1
Hindi-148.wav,Hindi,0
Hindi-170.wav,Hindi,0
Tamil-175.wav,Tamil,2
Hindi-230.wav,Hindi,0
Telugu-213.wav,Telugu,3
Hindi-166.wav,Hindi,0
Tamil-208.wav,Tamil,2
Tamil-97.wav,Tamil,2
Kannada-177.wav,Kannada,1
Tamil-248.wav,Tamil,2
Tamil-197.wav,Tamil,2
Telugu-126.wav,Telugu,3
Tamil-222.wav,Tamil,2
Tamil-192.wav,Tamil,2
Hindi-228.wav,Hindi,0
Kannada-248.wav,Kannada,1
Hindi-133.wav,Hindi,0
Hindi-61.wav,Hindi,0
Telugu-157.wav,Telugu,3
Hindi-155.wav,Hindi,0
Telugu-199.wav,Telugu,3
Telugu-161.wav,Telugu,3
Tamil-204.wav,Tamil,2
Tamil-229.wav,Tamil,2
Telugu-222.wav,Telugu,3
Kannada-159.wav,Kannada,1
Kannada-176.wav,Kannada,1
Telugu-226.wav,Telugu,3
Hindi-120.wav,Hindi,0
Tamil-207.wav,Tamil,2
Hindi-217.wav,Hindi,0
Kannada-167.wav,Kannada,1
Telugu-111.wav,Telugu,3
Kannada-214.wav,Kannada,1
Kannada-240.wav,Kannada,1
Hindi-206.wav,Hindi,0
Hindi-149.wav,Hindi,0
Tamil-156.wav,Tamil,2
Kannada-213.wav,Kannada,1
Telugu-93.wav,Telugu,3
Tamil-202.wav,Tamil,2
Tamil-151.wav,Tamil,2
Tamil-235.wav,Tamil,2
Tamil-171.wav,Tamil,2
Tamil-37.wav,Tamil,2
Telugu-244.wav,Telugu,3
Kannada-209.wav,Kannada,1
Telugu-92.wav,Telugu,3
Tamil-212.wav,Tamil,2
Telugu-138.wav,Telugu,3
Kannada-63.wav,Kannada,1
Tamil-173.wav,Tamil,2
Telugu-246.wav,Telugu,3
Telugu-221.wav,Telugu,3
Hindi-23.wav,Hindi,0
Telugu-235.wav,Telugu,3
Kannada-129.wav,Kannada,1
Tamil-217.wav,Tamil,2
Tamil-85.wav,Tamil,2
Telugu-236.wav,Telugu,3
Telugu-239.wav,Telugu,3
Tamil-163.wav,Tamil,2
Kannada-133.wav,Kannada,1
Tamil-25.wav,Tamil,2
Tamil-206.wav,Tamil,2
Tamil-214.wav,Tamil,2
Tamil-249.wav,Tamil,2
Kannada-241.wav,Kannada,1
Tamil-134.wav,Tamil,2
Hindi-164.wav,Hindi,0
Telugu-210.wav,Telugu,3
